id,city,state,zip,date,community_policing_description,lat,lng,count
1, NOVI, MI,48375,12/31/19,Public Relations,42.488863,-83.502099,1
2, NOVI, MI,48375,12/31/19,Public Relations,42.478117,-83.47079,1
3, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
4, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
5, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
6, NOVI, MI,48375,12/31/19,Public Relations,42.488863,-83.502099,1
7, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
8, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
9, NOVI, MI,48375,12/31/19,Public Relations,42.478117,-83.47079,1
10, NOVI, MI,48375,12/31/19,Public Relations,42.492271,-83.475934,1
11, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
12, NOVI, MI,48377,12/31/19,Public Relations,42.468792,-83.500297,1
13, NOVI, MI,48375,12/31/19,Public Relations,42.522439,-83.49899,1
14, NOVI, MI,48375,12/31/19,Public Relations,42.478033,-83.475493,1
15, NOVI, MI,48375,12/31/19,Public Relations,42.491899,-83.471475,1
16, NOVI, MI,48377,12/31/19,Public Relations,42.454138,-83.52592,1
17, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
18, NOVI, MI,48375,12/31/19,Public Relations,42.482083,-83.4715,1
19, NOVI, MI,48375,12/31/19,Community Preparedness Check,42.512892,-83.449649,1
20, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
21, NOVI, MI,48375,12/31/19,Public Relations,42.440775,-83.437282,1
22, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
23, NOVI, MI,48375,12/31/19,Public Relations,42.509067,-83.463226,1
24, NOVI, MI,48377,12/31/19,Community Preparedness Check,42.463211,-83.490985,1
25, NOVI, MI,48375,12/31/19,Community Preparedness Check,42.475122,-83.448154,1
26, NOVI, MI,48377,12/31/19,Public Relations,42.468959,-83.522221,1
27, NOVI, MI,48375,12/31/19,Public Relations,42.475509,-83.449926,1
28, NOVI, MI,48375,12/31/19,Public Relations,42.444341,-83.455271,1
29, NOVI, MI,48375,12/31/19,Public Relations,42.444341,-83.455271,1
30, NOVI, MI,48375,12/31/19,Community Preparedness Check,42.521202,-83.469492,1
31, NOVI, MI,48375,12/31/19,Public Relations,42.48073,-83.454373,1
32, NOVI, MI,48377,12/31/19,Public Relations,42.488863,-83.502099,1
33, NOVI, MI,48375,12/31/19,Public Relations,42.482091,-83.474305,1
34, NOVI, MI,48375,12/31/19,Public Relations,42.472468,-83.474906,1
35, NOVI, MI,48375,12/31/19,Public Relations,42.472468,-83.474906,1
36, NOVI, MI,48375,12/31/19,Public Relations,42.449088,-83.456196,1
37, NOVI, MI,48375,12/31/19,Public Relations,42.468959,-83.522221,1
38, NOVI, MI,48375,12/31/19,Public Relations,42.444532,-83.466231,1
39, NOVI, MI,48375,12/31/19,Public Relations,42.449088,-83.456196,1
40, NOVI, MI,48375,12/31/19,Public Relations,42.491899,-83.471475,1
41, NOVI, MI,48374,12/31/19,Public Relations,42.492721,-83.532006,1
42, NOVI, MI,48375,12/31/19,Public Relations,42.483274,-83.476097,1
43, NOVI, MI,48374,12/31/19,Public Relations,42.477223,-83.454587,1
44, NOVI, MI,48375,12/31/19,Public Relations,42.483814,-83.474698,1
45, NOVI, MI,48375,12/31/19,Public Relations,42.440775,-83.437282,1
46, NOVI, MI,48375,12/30/19,Public Relations,42.443062,-83.435775,1
47, NOVI, MI,48375,12/30/19,Public Relations,42.491988,-83.480578,1
48, NOVI, MI,48374,12/30/19,Public Relations,42.488284,-83.534312,1
49, NOVI, MI,48375,12/30/19,Community Preparedness Check,42.468959,-83.522221,1
50, NOVI, MI,48375,12/30/19,Public Relations,42.467024,-83.474197,1
51, NOVI, MI,48375,12/30/19,Public Relations,42.488284,-83.534312,1
52, NOVI, MI,48375,12/30/19,Public Relations,42.468959,-83.522221,1
53, NOVI, MI,48374,12/30/19,Public Relations,42.468959,-83.522221,1
54, NOVI, MI,48374,12/30/19,Public Relations,42.468959,-83.522221,1
55, NOVI, MI,48375,12/30/19,Public Relations,42.478033,-83.475493,1
56, NOVI, MI,48374,12/30/19,Community Preparedness Check,42.450681,-83.504154,1
57, NOVI, MI,48375,12/30/19,Public Relations,42.468959,-83.522221,1
58, NOVI, MI,48375,12/30/19,Public Relations,42.482091,-83.474305,1
59, NOVI, MI,48375,12/30/19,Community Preparedness Check,42.512892,-83.449649,1
60, NOVI, MI,48375,12/30/19,Public Relations,42.492271,-83.475934,1
61, NOVI, MI,48375,12/30/19,Public Relations,42.522735,-83.46756,1
62, NOVI, MI,48375,12/30/19,Public Relations,42.503898,-83.443508,1
63, NOVI, MI,48377,12/30/19,Public Relations,42.446138,-83.503926,1
